Date,IBM
11/16/2016,159.29
11/15/2016,158.67
11/14/2016,158.21
11/11/2016,161.27
11/10/2016,160.22
11/09/2016,154.81
11/08/2016,155.17
11/07/2016,155.72
11/04/2016,152.43
11/03/2016,152.37
11/02/2016,151.95
11/01/2016,152.79
10/31/2016,153.69
10/28/2016,152.61
10/27/2016,153.35
10/26/2016,151.81
10/25/2016,150.88
10/24/2016,150.57
10/21/2016,149.63
10/20/2016,151.52
10/19/2016,151.26
10/18/2016,150.72
10/17/2016,154.77
10/14/2016,154.45
10/13/2016,153.72
10/12/2016,154.29
10/11/2016,154.79
10/10/2016,157.02
10/07/2016,155.67
10/06/2016,156.88
10/05/2016,157.08
10/04/2016,156.46
10/03/2016,157.61
09/30/2016,158.85
09/29/2016,158.11
09/28/2016,158.29
09/27/2016,156.77
09/26/2016,153.98
09/23/2016,154.98
09/22/2016,156.11
09/21/2016,155.53
09/20/2016,154.45
09/19/2016,154.87
09/16/2016,153.84
09/15/2016,155.66
09/14/2016,154.05
09/13/2016,155.81
09/12/2016,158.29
09/09/2016,155.69
09/08/2016,159.00
09/07/2016,161.64
09/06/2016,160.35
09/05/2016,159.55
09/02/2016,159.55
09/01/2016,159.54
08/31/2016,158.88
08/30/2016,159.40
08/29/2016,159.72
08/26/2016,158.32
08/25/2016,158.63
08/24/2016,159.05
08/23/2016,160.26
08/22/2016,160.00
08/19/2016,160.04
08/18/2016,161.36
08/17/2016,160.44
08/16/2016,160.70
08/15/2016,161.88
08/12/2016,161.95
08/11/2016,163.53
08/10/2016,162.08
08/09/2016,161.77
08/08/2016,162.04
08/05/2016,163.50
08/04/2016,161.55
08/03/2016,160.67
08/02/2016,160.58
08/01/2016,161.45
07/29/2016,160.62
07/28/2016,161.37
07/27/2016,161.83
07/26/2016,162.12
07/25/2016,162.65
07/22/2016,162.07
07/21/2016,160.45
07/20/2016,161.36
07/19/2016,159.58
07/18/2016,159.86
07/15/2016,159.78
07/14/2016,160.28
07/13/2016,158.02
07/12/2016,157.04
07/11/2016,155.33
07/08/2016,154.46
07/07/2016,152.60
07/06/2016,152.37
07/05/2016,151.68
07/04/2016,152.35
07/01/2016,152.35
06/30/2016,151.78
06/29/2016,148.46
06/28/2016,145.70
06/27/2016,143.50
06/24/2016,146.59
06/23/2016,155.35
06/22/2016,152.92
06/21/2016,154.05
06/20/2016,153.61
06/17/2016,151.99
06/16/2016,151.06
06/15/2016,150.68
06/14/2016,151.06
06/13/2016,151.28
06/10/2016,152.37
06/09/2016,153.42
06/08/2016,154.00
06/07/2016,153.33
06/06/2016,152.73
06/03/2016,152.89
06/02/2016,153.50
06/01/2016,152.51
05/31/2016,153.74
05/30/2016,152.84
05/27/2016,152.84
05/26/2016,152.44
05/25/2016,151.69
05/24/2016,148.31
05/23/2016,146.77
05/20/2016,147.25
05/19/2016,144.93
05/18/2016,147.34
05/17/2016,148.00
05/16/2016,149.46
05/13/2016,147.72
05/12/2016,148.84
05/11/2016,148.95
05/10/2016,149.97
05/09/2016,147.34
05/06/2016,147.29
05/05/2016,146.47
05/04/2016,144.25
05/03/2016,144.13
05/02/2016,145.27
04/29/2016,145.94
04/28/2016,147.07
04/27/2016,150.47
04/26/2016,149.08
04/25/2016,148.81
04/22/2016,148.50
04/21/2016,149.30
04/20/2016,146.11
04/19/2016,144.00
04/18/2016,152.53
04/15/2016,151.72
04/14/2016,151.16
04/13/2016,151.23
04/12/2016,149.63
04/11/2016,149.25
04/08/2016,149.35
04/07/2016,148.25
04/06/2016,150.02
04/05/2016,150.00
04/04/2016,152.07
04/01/2016,152.52
03/31/2016,151.45
03/30/2016,148.41
03/29/2016,149.33
03/28/2016,148.40
03/25/2016,147.95
03/24/2016,147.95
03/23/2016,145.40
03/22/2016,148.10
03/21/2016,148.63
03/18/2016,147.09
03/17/2016,147.04
03/16/2016,144.79
03/15/2016,142.96
03/14/2016,142.78
03/11/2016,142.36
03/10/2016,140.19
03/09/2016,140.41
03/08/2016,139.07
03/07/2016,140.15
03/04/2016,137.80
03/03/2016,137.80
03/02/2016,136.30
03/01/2016,134.37
02/29/2016,131.03
02/26/2016,132.03
02/25/2016,134.50
02/24/2016,132.80
02/23/2016,132.40
02/22/2016,133.77
02/19/2016,133.08
02/18/2016,132.45
02/17/2016,126.10
02/16/2016,122.74
02/15/2016,121.04
02/12/2016,121.04
02/11/2016,117.85
02/10/2016,120.19
02/09/2016,124.07
02/08/2016,126.98
02/05/2016,128.57
02/04/2016,127.65
02/03/2016,124.72
02/02/2016,122.94
02/01/2016,124.83
01/29/2016,124.79
01/28/2016,122.22
01/27/2016,120.96
01/26/2016,122.59
01/25/2016,122.08
01/22/2016,122.50
01/21/2016,122.91
01/20/2016,121.86
01/19/2016,128.11
01/18/2016,130.03
01/15/2016,130.03
01/14/2016,132.91
01/13/2016,131.17
01/12/2016,132.90
01/11/2016,133.23
01/08/2016,131.63
01/07/2016,132.86
01/06/2016,135.17
01/05/2016,135.85
01/04/2016,135.95
01/01/2016,137.62
12/31/2015,137.62
12/30/2015,139.34
12/29/2015,139.78
12/28/2015,137.61
12/25/2015,138.25
12/24/2015,138.25
12/23/2015,138.54
12/22/2015,137.93
12/21/2015,135.50
12/18/2015,134.90
12/17/2015,136.75
12/16/2015,139.29
12/15/2015,137.79
12/14/2015,135.93
12/11/2015,134.57
12/10/2015,136.78
12/09/2015,136.61
12/08/2015,138.05
12/07/2015,139.55
12/04/2015,140.43
12/03/2015,138.92
12/02/2015,139.70
12/01/2015,141.28
11/30/2015,139.42
11/27/2015,138.46
11/26/2015,138.00
11/25/2015,138.00
11/24/2015,138.60
11/23/2015,138.46
11/20/2015,138.50
11/19/2015,136.74
11/18/2015,135.82
11/17/2015,133.82
11/16/2015,133.71
11/13/2015,131.75
11/12/2015,133.04
11/11/2015,135.02
11/10/2015,135.47
11/09/2015,135.31
11/06/2015,138.25
11/05/2015,139.89
11/04/2015,141.63
11/03/2015,141.88
11/02/2015,140.37
10/30/2015,140.08
10/29/2015,140.55
10/28/2015,140.83
10/27/2015,137.86
10/26/2015,143.66
10/23/2015,144.68
10/22/2015,144.09
10/21/2015,140.92
10/20/2015,140.64
10/19/2015,149.22
10/16/2015,150.39
10/15/2015,150.09
10/14/2015,150.01
10/13/2015,149.62
10/12/2015,151.14
10/09/2015,152.39
10/08/2015,152.28
10/07/2015,150.09
10/06/2015,148.78
10/05/2015,149.04
10/02/2015,144.58
10/01/2015,143.59
09/30/2015,144.97
09/29/2015,142.47
09/28/2015,142.52
09/25/2015,145.42
09/24/2015,144.41
09/23/2015,143.66
09/22/2015,144.43
09/21/2015,146.48
09/18/2015,144.51
09/17/2015,148.14
09/16/2015,148.41
09/15/2015,147.53
09/14/2015,145.65
09/11/2015,147.37
09/10/2015,146.20
09/09/2015,145.05
09/08/2015,147.23
09/07/2015,143.70
09/04/2015,143.70
09/03/2015,146.78
09/02/2015,145.05
09/01/2015,142.68
08/31/2015,147.89
08/28/2015,147.98
08/27/2015,148.54
08/26/2015,146.70
08/25/2015,140.96
08/24/2015,143.47
08/21/2015,148.85
08/20/2015,152.66
08/19/2015,153.94
08/18/2015,156.01
08/17/2015,156.31
08/14/2015,155.75
08/13/2015,155.07
08/12/2015,156.16
08/11/2015,155.51
08/10/2015,156.75
08/07/2015,155.12
08/06/2015,156.32
08/05/2015,157.90
08/04/2015,157.60
08/03/2015,158.71
07/31/2015,161.99
07/30/2015,160.96
07/29/2015,161.09
07/28/2015,160.05
07/27/2015,159.07
07/24/2015,159.75
07/23/2015,161.73
07/22/2015,160.35
07/21/2015,163.07
07/20/2015,173.22
07/17/2015,172.51
07/16/2015,171.00
07/15/2015,168.53
07/14/2015,168.61
07/13/2015,169.38
07/10/2015,166.95
07/09/2015,163.85
07/08/2015,163.16
07/07/2015,165.00
07/06/2015,164.73
07/03/2015,165.09
07/02/2015,165.09
07/01/2015,164.49
06/30/2015,162.66
06/29/2015,162.97
06/26/2015,165.46
06/25/2015,166.08
06/24/2015,166.97
06/23/2015,168.62
06/22/2015,167.73
06/19/2015,166.99
06/18/2015,168.25
06/17/2015,167.17
06/16/2015,166.84
06/15/2015,166.26
06/12/2015,166.99
06/11/2015,168.78
06/10/2015,168.92
06/09/2015,165.68
06/08/2015,165.34
06/05/2015,167.40
06/04/2015,168.38
06/03/2015,169.92
06/02/2015,169.65
06/01/2015,170.18
05/29/2015,169.65
05/28/2015,171.71
05/27/2015,172.00
05/26/2015,170.13
05/25/2015,172.22
05/22/2015,172.22
05/21/2015,173.34
05/20/2015,173.76
05/19/2015,173.48
05/18/2015,173.06
05/15/2015,173.26
05/14/2015,174.05
05/13/2015,172.28
05/12/2015,170.55
05/11/2015,171.12
05/08/2015,172.68
05/07/2015,170.99
05/06/2015,170.05
05/05/2015,173.08
05/04/2015,173.97
05/01/2015,173.67
04/30/2015,171.29
04/29/2015,174.40
04/28/2015,173.92
04/27/2015,170.73
04/24/2015,169.78
04/23/2015,170.24
04/22/2015,165.36
04/21/2015,164.26
04/20/2015,166.16
04/17/2015,160.67
04/16/2015,163.13
04/15/2015,164.13
04/14/2015,162.30
04/13/2015,162.38
04/10/2015,162.86
04/09/2015,162.34
04/08/2015,161.85
04/07/2015,162.07
04/06/2015,162.04
04/03/2015,160.45
04/02/2015,160.45
04/01/2015,159.18
03/31/2015,160.50
03/30/2015,162.67
03/27/2015,160.40
03/26/2015,160.59
03/25/2015,159.20
03/24/2015,163.00
03/23/2015,164.63
03/20/2015,162.88
03/19/2015,159.81
03/18/2015,159.81
03/17/2015,156.96
03/16/2015,157.08
03/13/2015,154.28
03/12/2015,157.98
03/11/2015,156.80
03/10/2015,157.81
03/09/2015,160.77
03/06/2015,158.50
03/05/2015,161.18
03/04/2015,159.42
03/03/2015,161.03
03/02/2015,160.48
02/27/2015,161.94
02/26/2015,160.87
02/25/2015,162.81
02/24/2015,164.83
02/23/2015,162.91
02/20/2015,163.65
02/19/2015,163.89
02/18/2015,162.19
02/17/2015,160.96
02/16/2015,160.40
02/13/2015,160.40
02/12/2015,158.52
02/11/2015,158.20
02/10/2015,158.56
02/09/2015,155.75
02/06/2015,156.72
02/05/2015,157.91
02/04/2015,156.96
02/03/2015,158.47
02/02/2015,154.66
01/30/2015,153.31
01/29/2015,155.48
01/28/2015,151.55
01/27/2015,153.67
01/26/2015,156.36
01/23/2015,155.87
01/22/2015,155.39
01/21/2015,152.09
01/20/2015,156.95
01/19/2015,157.14
01/16/2015,157.14
01/15/2015,154.57
01/14/2015,155.80
01/13/2015,156.81
01/12/2015,156.44
01/09/2015,159.11
01/08/2015,158.42
01/07/2015,155.05
01/06/2015,156.07
01/05/2015,159.51
01/02/2015,162.06
01/01/2015,160.44
12/31/2014,160.44
12/30/2014,160.05
12/29/2014,160.51
12/26/2014,162.34
12/25/2014,161.82
12/24/2014,161.82
12/23/2014,162.24
12/22/2014,161.44
12/19/2014,158.51
12/18/2014,157.68
12/17/2014,151.93
12/16/2014,151.41
12/15/2014,153.06
12/12/2014,155.38
12/11/2014,161.07
12/10/2014,160.51
12/09/2014,162.99
12/08/2014,161.86
12/05/2014,163.27
12/04/2014,164.05
12/03/2014,164.52
12/02/2014,162.67
12/01/2014,161.54
11/28/2014,162.17
11/27/2014,161.95
11/26/2014,161.95
11/25/2014,161.76
11/24/2014,162.15
11/21/2014,160.92
11/20/2014,160.64
11/19/2014,161.43
11/18/2014,161.89
11/17/2014,164.16
11/14/2014,164.16
11/13/2014,162.79
11/12/2014,161.92
11/11/2014,163.30
11/10/2014,163.49
11/07/2014,162.07
11/06/2014,161.46
11/05/2014,161.82
11/04/2014,162.65
11/03/2014,164.36
10/31/2014,164.40
10/30/2014,164.35
10/29/2014,163.46
10/28/2014,163.60
10/27/2014,161.87
10/24/2014,162.08
10/23/2014,162.18
10/22/2014,161.79
10/21/2014,163.23
10/20/2014,169.10
10/17/2014,182.05
10/16/2014,179.84
10/15/2014,181.75
10/14/2014,183.80
10/13/2014,183.52
10/10/2014,185.93
10/09/2014,186.42
10/08/2014,189.36
10/07/2014,185.71
10/06/2014,189.04
10/03/2014,188.67
10/02/2014,186.91
10/01/2014,187.17
09/30/2014,189.83
09/29/2014,189.64
09/26/2014,190.06
09/25/2014,189.01
09/24/2014,192.31
09/23/2014,191.62
09/22/2014,193.11
09/19/2014,194.00
09/18/2014,193.75
09/17/2014,192.80
09/16/2014,192.96
09/15/2014,191.81
09/12/2014,191.28
09/11/2014,191.72
09/10/2014,191.54
09/09/2014,189.99
09/08/2014,190.14
09/05/2014,191.20
09/04/2014,190.68
09/03/2014,191.95
09/02/2014,191.56
09/01/2014,192.30
08/29/2014,192.30
08/28/2014,192.00
08/27/2014,192.25
08/26/2014,192.99
08/25/2014,191.16
08/22/2014,190.41
08/21/2014,191.23
08/20/2014,190.10
08/19/2014,190.07
08/18/2014,189.36
08/15/2014,187.38
08/14/2014,187.88
08/13/2014,187.95
08/12/2014,187.34
08/11/2014,187.47
08/08/2014,186.63
08/07/2014,184.30
08/06/2014,185.97
08/05/2014,187.10
08/04/2014,189.64
08/01/2014,189.15
07/31/2014,191.67
07/30/2014,194.00
07/29/2014,194.57
07/28/2014,195.78
07/25/2014,194.40
07/24/2014,195.24
07/23/2014,193.63
07/22/2014,194.09
07/21/2014,190.85
07/18/2014,192.50
07/17/2014,192.49
07/16/2014,192.36
07/15/2014,188.49
07/14/2014,189.86
07/11/2014,188.00
07/10/2014,187.70
07/09/2014,188.42
07/08/2014,187.22
07/07/2014,188.04
07/04/2014,188.53
07/03/2014,188.53
07/02/2014,188.39
07/01/2014,186.35
06/30/2014,181.27
06/27/2014,181.71
06/26/2014,180.37
06/25/2014,180.72
06/24/2014,180.88
06/23/2014,182.14
06/20/2014,181.55
06/19/2014,182.82
06/18/2014,183.60
06/17/2014,182.26
06/16/2014,182.35
06/13/2014,182.56
06/12/2014,181.22
06/11/2014,182.25
06/10/2014,184.29
06/09/2014,186.22
06/06/2014,186.37
06/05/2014,185.98
06/04/2014,184.51
06/03/2014,184.37
06/02/2014,185.69
05/30/2014,184.36
05/29/2014,183.76
05/28/2014,183.08
05/27/2014,184.78
05/26/2014,185.94
05/23/2014,185.94
05/22/2014,185.68
05/21/2014,186.39
05/20/2014,184.89
